ID,Group,Age,Gender,Number of live coding performances attended,Attended previous live coding study,How much music,Play instrument or sing,How much programming experience,unvisualised enjoyment beginning,unvisualised enjoyment middle,unvisualised enjoyment end,unvisualised understanding beginning,unvisualised understanding middle,unvisualised understanding end,No visualisations what do you think the performer was doing in the very early stages of the performance,No visualisations what do you think the performer was doing in the very last stages of the performer,visualised enjoyment beginning,visualised enjoyment middle,visualised enjoyment end,visualised understanding beginning,visualised understanding middle,visualised understanding end,With visualisations what do you think the performer was doing in the very early stages of the performance,With visualisations what do you think the performer was doing in the very last stages of the performer,Code helped understanding,Code helped enjoyment,Visualisations helped understanding,Visualisations helped enjoyment,Did the projected code or visualisations communicate the feeling of liveness,Order
1,1,28,M,20,Yes,A large amount,Yes,Currently program,high,medium,medium,high,high,high,Setup clusters callback to play very fast short piano notes. Setup a callback to cycle through a i vii vi v progression with slow chords.,Brought up the bass drum. Volumes changed to be faster. [...] 80 and the chords. Then reduced the density of clusters using a probability if statement.,low,high,high,medium,high,high,"Setting up some pattern callbacks to play the piano sound, Adding more density of notes. Setting up a scale to choose notes from.","Manually moving the bassline with ""-"", awesome. Blocking off each callback to stop the patterns one by one.",Yes,Yes,Yes,No,"The code gives an impression of the current state of the performances but also a sense of lookahead and a view into the performer's ideas. Nice to see a few mistakes like ""durms"".",Visuals->Code
2,1,>50,M,>20,Yes - but did not complete the survey,A large amount,Yes,Currently program,medium,low,high,medium,medium,medium,Setting up instruments.,Disablng instruments.,medium,medium,high,medium,medium,high,Assembling instruments.,Disassembling instruments and bringing the musical structure to a decent conclusion.,Yes,Yes,No,No,Yes. The code certainly helped. I thought that the visualisations were too faint in the beginning of the piece to make their meaning clear. Also they moved more slowly than the pace of the music.,Visuals->Code
3,1,10,M,2,No,Between a little and a large amount,Yes,Some experience,high,medium,low,high,high,high,Getting the melody.,Trying to get more parts in the song. It was very fast.,high,medium,high,medium,low,medium,Making a beat and organising the places for the up coming notes.,Doing the opposite.,No Opinion,Yes,Yes,Yes,"Yes, definitely because everthing was getting deleted and that kinda stuff.",Visuals->Code
4,1,55,M,0,No,Hardly any,No,Some experience,medium,low,low,low,low,low,Starting soft and simple. Sounded like a russian classical composer accompanied by a modem.,Louder and more complex,medium,high,low,low,low,low,Adding code to make the music more complex,Removing code to make it simpler,No,No,No,No,"Not much. I would have preferred to see the performers hands, as with a piano. I don’t understand what is happening but can see they are doing something. The visualisations did not seem to correlate to the music at all. I suggest a visual icon interface, not text code. Perfomer needs a costume... perhaps project onto them?",Visuals->Code
5,1,63,M,1,No,A little,No,Some experience,low,medium,medium,medium,medium,medium,"Setting up ""noisy"" components","Again, shutting down",high,high,high,medium,medium,medium,Baseline/variations/improvisations then key shifts + overlap of changed timing signatures,"Shutting down the complexity of the music, step by step",Yes,Yes,No,No,It felt more like subtitles in foreign language movies (actually the other way around - the music was the subtitles to the projected code),Visuals->Code
6,1,25,M,0,No,A large amount,No,Currently program,low,medium,low,low,low,low,"Sorry, I don't quite understand","Sorry, I don't quite understand",medium,medium,medium,low,low,low,"Sorry, I don't quite understand","Sorry, I don't quite understand",No opinion,No,No,No,No. I don’t understand the relationship between the code and the music. Maybe I need to know something about live coding.,Visuals->Code
7,1,32,M,0,No,A little,No,Currently program,low,high,medium,low,low,low,not very clear,"what he did was good, but the music not very nice",low,medium,medium,low,medium,medium,-,-,No Opinion,No opinion,No,No,It is better to explain how to do this step by step!,Visuals->Code
8,1,44,M,0,No,A little,No,Currently program,low,medium,low,low,low,low,setting up instrument bleeps,phasing out instruments -> it sounded a bit like the beginning,low,high,medium,low,low,low,maybe setting up instruments to be used later?,"phasing out some parts, changing instruments",No,No,No,No,Yes. I could see that the music changed within a short delay after the code changed. I believed that it was live.,Visuals->Code
9,1,24,F,0,No,A large amount,Occasionally,No experience,low,medium,high,low,low,low,setting up in preparation for parts expected to be needed later,"adjusting existing code for different effects, possibly turning some things on or off.",low,medium,high,low,low,low,setting up the code which might be needed more quickly than it can be typed for later on,"adjusting mostly existing code to produce interesting effects (tempo, pitch, bass vs treble for example)",Yes,Yes,No,Yes,"Yes, the projected code helped communicate that feeling, especially when an error occurrred and was corrected (in the typing, not the performance)",Visuals->Code
10,1,24,M,0,No,A large amount,Yes,Currently program,medium,medium,medium,medium,medium,medium,Play random piano notes (16ths),Slowing everything down (chords then random piano),low,medium,low,medium,medium,medium,-,-,Yes,Yes,No,Yes,"Yes, when updates occurred it was obvious in the music, and it was noticable which section of code corresponded to the change.",Visuals->Code
