Id,Start Date,Submit Date,Network ID,How many live coding performances have you been to?,How much music do you listen to?,Do you play an instrument or sing?,How much experience do you have with programming?,Please choose the image that best represents your enjoyment through the performance.,Please choose the image that best represents your understanding of the relationship between the visuals and the music through the performance.,This was a live performance! What effect did the visuals have on your sense of 'liveness' of the performance?,Were there any aspects of the visuals that you found confusing?
,2014-03-15 11:24:02,2014-03-15 11:26:07,,Five or more,A large amount,Yes - I play or sing regularly,I currently program for my study/hobby/work,enj-up,und-down-up,They helped,
,2014-03-15 11:24:10,2014-03-15 11:26:45,,None - This is my first one,A large amount,Occasionally or I have in the past,I currently program for my study/hobby/work,enj-flat,und-flat,They had no effect on my sense of 'liveness',
,2014-03-15 11:24:28,2014-03-15 11:26:53,,Less than five,A large amount,Occasionally or I have in the past,I currently program for my study/hobby/work,enj-up-down,und-up-down,They helped,nope :-)
,2014-03-15 11:25:56,2014-03-15 11:28:29,,None - This is my first one,A large amount,No - I would not consider myself a musician or singer,I currently program for my study/hobby/work,enj-up,und-up,They helped,No
,2014-03-15 11:26:07,2014-03-15 11:33:02,,Less than five,A large amount,Yes - I play or sing regularly,I have some experience programming,enj-up,und-up-down,They helped,"I didn't fully grasp what was going on sometimes, "
,2014-03-15 11:26:46,2014-03-15 11:29:27,,None - This is my first one,A large amount,Yes - I play or sing regularly,I have no experience with it,enj-up,und-down-up,They helped,No
,2014-03-15 11:27:29,2014-03-15 11:32:16,,Five or more,A little,Occasionally or I have in the past,I have no experience with it,enj-flat,und-down-up,They helped,Flicking between screens; use of colors which seemed meaningless to an audience 
,2014-03-15 11:29:03,2014-03-15 11:31:20,,None - This is my first one,A large amount,Yes - I play or sing regularly,I currently program for my study/hobby/work,enj-down-up,und-flat,They had no effect on my sense of 'liveness',Small font. Also generally hard to link the changes in code to changes in sound. 
,2014-03-15 11:29:28,2014-03-15 11:31:29,,Less than five,A large amount,Yes - I play or sing regularly,I have some experience programming,enj-up-down,und-up,They helped,too small
,2014-03-15 11:29:34,2014-03-15 11:31:41,,None - This is my first one,Hardly any,No - I would not consider myself a musician or singer,I have no experience with it,enj-flat,und-flat,They helped,no
,2014-03-15 11:29:48,2014-03-15 11:32:57,,None - This is my first one,A little,No - I would not consider myself a musician or singer,I have no experience with it,unsure,unsure,They had no effect on my sense of 'liveness',all 
,,,,None - This is my first one,A large amount,Yes - I play or sing regularly,I have some experience programming,enj-up,und-down-up,They helped,No.
,,,,None - This is my first one,A large amount,Yes - I play or sing regularly,I have some experience programming,unsure,unsure,They had no effect on my sense of 'liveness',
,,,,None - This is my first one,A little,No - I would not consider myself a musician or singer,I have no experience with it,enj-up,und-flat,They helped,
,,,,Five or more,A large amount,Yes - I play or sing regularly,I have some experience programming,Not Valid,Not Valid,They helped,
