performances,musiclisten,musicperform,programming,enjoyment,understanding,liveness,confusion
Five or more,A large amount,Yes - I play or sing regularly,I currently program for my study/hobby/work,enj-up,und-down-up,They helped,no response
None - This is my first one,A large amount,Occasionally or I have in the past,I currently program for my study/hobby/work,enj-flat,und-flat,They had no effect on my sense of 'liveness',no response
Less than five,A large amount,Occasionally or I have in the past,I currently program for my study/hobby/work,enj-up-down,und-up-down,They helped,none
None - This is my first one,A large amount,No - I would not consider myself a musician or singer,I currently program for my study/hobby/work,enj-up,und-up,They helped,none
Less than five,A large amount,Yes - I play or sing regularly,I have some experience programming,enj-up,und-up-down,They helped,some
None - This is my first one,A large amount,Yes - I play or sing regularly,I have no experience with it,enj-up,und-down-up,They helped,none
None - This is my first one,A large amount,Yes - I play or sing regularly,I currently program for my study/hobby/work,enj-down-up,und-flat,They had no effect on my sense of 'liveness',some
Less than five,A large amount,Yes - I play or sing regularly,I have some experience programming,enj-up-down,und-up,They helped,some
None - This is my first one,Hardly any,No - I would not consider myself a musician or singer,I have no experience with it,enj-flat,und-flat,They helped,none
None - This is my first one,A little,No - I would not consider myself a musician or singer,I have no experience with it,unsure,unsure,They had no effect on my sense of 'liveness',all 
None - This is my first one,A large amount,Yes - I play or sing regularly,I have some experience programming,enj-up,und-down-up,They helped,none
None - This is my first one,A large amount,Yes - I play or sing regularly,I have some experience programming,unsure,unsure,They had no effect on my sense of 'liveness',no response
None - This is my first one,A little,No - I would not consider myself a musician or singer,I have no experience with it,enj-up,und-flat,They helped,no response
