id,performance,age,gender,num performances,music amount,instrument or sing,programming experience,lisp experience,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic help enjoyment,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic help understanding,aesthetic liveness,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic help enjoyment,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic help understanding,didactic liveness,improvements,arrian's notes
1,2,33-37,m,first one,large amount,no,currently program,yes,-,-,-,-,-,-,-,-,-,2,1,2,no,2,2,2,-,Yes. Live editing,You need separate screens... overlayed code and graphics was confusing. Unsure how the visualizations related to music -> need to be intuitive,survey half complete
2,2,33-37,-,first one,large amount,no,currently program,don't know what you are talking about,1,2,3,yes,1,1,1,no opinion,I could not associate as haven't been to any live performance.,3,2,2,yes,1,1,1,no opinion,Probably not because I had the context set. If I was only listening it could give that feeling.,"If you must use the visuals, probably images with the instrument being played could help.",
3,2,23-27,m,first one,large amount,yes,currently program,no,2,2,3,yes,2,-,-,no,Same as Q12 [The changing and addition of different parameters helped to understand it was live.],1,1,2,no,3,2,3,no,The changing and addition of different parameters helped to understand it was live.,"During the starting when the code was being written some part of music was monotonous. Too many use of ""random"" where music was off beat during first performance [2 didactic]. 2nd performance was good. [2 aesthetic]",
4,2,23-27,m,first one,large amount,yes,currently program,no,3,3,3,yes,2,3,3,yes,"Confusing when vis changed, once that was clear how the code worked was easier to understand.",2,3,3,yes,2,2,2,yes,Watching the program conveyed it as live. In-interpreter changes were impressive.,I found the three wavy live vis confusing - knowing what it was refering in the music (labels) would have been good. I feel vis could be more complex - show more information. May be combine some (segmented circles?),
5,2,43-52,f,first one,large amount,yes,currently program,no,2,3,3,yes,2,2,2,no,I liked these visuals better but I still did not feel they represented the code or music very well. I would have liked to see more correspondence eg. hue = pitch size = temporal frequency or something similar ,3,3,3,yes,2,2,2,no,"Yes, the code in particular gave a good feeling for the ""live""-ness of the performance. I guess we're used to auto-visualisations of music so that didn't contribute quite as much. Also I didn't feel the visualisations were very representitive of what was happening musically.",See previous comments. It might be interesting to look at some of the literature on synaethesia for inspiration on this.,"stated in didactic understanding section that ""I couldn't really read the code from where I was sitting"""
6,2,18-22,m,first one,large amount,no,currently program,no,2,3,2,yes,2,2,2,no,Visualisations - not as much as first performance [2 didactic]. Doesn't seem to be linked with the code as much.,2,2,2,yes,-,-,-,no opinion,You can see code changing and visualisations changing as soon as code changes.,Second set of visualisations looks prettier but less connected with code.,
7,2,23-27,m,first one,large amount,no,currently program,no,2,2,3,no,3,2,3,no,"Code yes, especially when changing frequencies. Visualisations were nicer, but didn't change much.",3,2,3,no,3,1,3,yes,Yes. Connection between code and vis was understandable.,"First one was factual but ""boring"". Second one was better but did not reflect rhythm too much.",
8,2,43-52,m,4,a little,no,currently program,yes,2,3,2,yes,1,1,1,no opinion,Yes. Response to code changes.,2,2,2,yes,1,1,1,no opinion,Yes,-,"stated ""could not read"" for didactic understanding section"
9,2,23-27,f,first one,large amount,no,currently program,no,3,3,3,yes,1,1,1,no,Same comment as before except that I thought the last visualisations [2 didactic] were better and in hindsight helped more with communicating that the performance was live.,3,3,3,yes,1,1,1,yes,"Yes, the code change was more helpful in communicating that the performance was live but the visualisations were far more interesting to look at so it was good to have a combination of the two.",I thought the first visualisation [2 didactic] methods was better and I have no comments on how to improve that method.,
10,2,43-52,m,3?,large amount,occasionally,currently program,no,2,2,2,no,2,2,2,no,Variation in visualisations in response to the code & music changes.,2,2,2,yes,1,2,2,no,Yes - the appearance of code correlated with keyboard clicksƒ,Not really.,
11,2,18-22,m,first one,a little,no,currently program,no,2,3,3,yes,2,2,2,no,Same answer. Code - yes. Visualisations - no,1,1,2,no,1,2,2,no,the code did the visualisations did not,no. but they don't feel like they reflected what is playing well the second was more enjoyable to watch. The first reflected the music more.,
12,2,18-22,f,first one,large amount,occasionally,no experience,no,3,3,3,yes,2,2,2,yes,Same as before + further understanding of relation between numbers and music,3,2,3,yes,1,1,2,yes,Yes. When the artist changed the code the music changed eg. Changing number produced chages in tone and speed of the music pitch,Maybe have the code and visuals on different screens (if it were for a live performance that wasn't a user study). When all the instruments were playing it was difficult to see the code.,
13,2,23-27,m,first one,large amount,no,currently program,yes,3,3,3,yes,2,2,2,no,Same as before,1,3,2,yes,2,2,2,no,Code definitely. Visualisations not so much - vis are cool but not clear what they represent,-,
14,2,23-27,m,first one,a little,no,currently program,no,2,3,3,yes,2,3,3,no,No. Does the code influence visualisations? Influence is not clear.,3,2,2,yes,1,2,2,no,No. visualisations need to be clearer in the code,Movement of animations is synch with beats. Small beats -> small animations etc.,indicated in demographics section that they program for study and work 
15,2,28-32,m,first one,a little,no,some experience,no,3,2,2,no opinion,-,-,-,no,random noise' sequences when two instruments were playing was a really interesting metaphor but it didn't actually look random... too evenly distributed?,3,3,3,yes,-,-,-,yes,Plenty of 'live' electronic performances are pre-recorded. Code showed what the musician was doing physically. Visualisation explained how these actions translated into sound.,,"noted after the suggestions section that ""had to read screen from the far side of the room"""
16,2,53-62,m,one or two,large amount,occasionally,currently program,no,1,2,2,yes,2,2,2,no,Not really - seemed disconnected from performance,2,3,2,no opinion,2,2,2,no,Kind of - the visualization seemed to change/evolve with the f1 of the work - in sync??,Would be better for vis to relfect each element of the music - eg. Something for drums or chords etc. The 1st performance seemed to do this but the connection could have been stronger,
17,2,23-27,f,first one,a little,occasionally,some experience,don't know what you are talking about,2,2,2,yes,2,2,2,no,Again the code did. The visualisations not so much.,2,3,2,yes,1,1,2,no,yes - seeing the code change and hearing the result. The visualisations were interesting but distracting.,Being on a separate screen might help so they aren't competing with the code.,
18,2,28-32,m,first one,a little,yes,currently program,no,3,3,2,yes,3,3,3,no opinion,Much more of a pleasant addition this time. The visualizations were less dominating and more complementary.,1,2,2,no opinion,1,2,2,no,The code yes. May be better having a second projection for visualisations.,"A surrounding projection would be better (though trickier to organise). Perhaps a more vivid variation when the code is updated, especially when adding or removing instruments.",
19,2,23-27,f,7,a little,occasionally,some experience,don't know what you are talking about,2,3,1,yes,3,1,1,no,no. the visuals seemed to be timed? didn't seem to be live. The code typed seem to be live,3,1,2,no,1,2,2,no,no. you could see it was live from the typing - the visuals only responded to what was being typed.,I prefer visuals that look nice rather than contain a lot of information - maybe better if they relfect the mood of the music rather than technical stuff?,
20,2,28-32,m,first one,large amount,occasionally,currently program,don't know what you are talking about,3,3,3,yes,2,3,2,no,Understood the code much more the 2nd time around. Vis much more fun when you can see what he's doing & what's coming. Visualisations can *distract* from appreciation of code,2,3,2,no opinion,1,2,2,no,Yes due to the way the visualisations changed according to which tracks were active.,I was too busy focusing on the code & I didn't get so much of a connection between them & the music.,Drew arrow from distract in aesthetic 'did the projected visuals help' comment to the 'no' in the aesthetic understanding question.
21,2,33-37,m,first one,large amount,occasionally,currently program,no,2,2,2,no opinion,2,3,3,no opinion,The interpreter/composer took care to s1 down the music in a way I could fol1 and perceive.,2,3,2,yes,1,2,3,no,"Mostly the hesitation of the cursor and that transitions between ""musical forms"" didn't occur at the most expected times.","* could you ""live code"" the colour pallettes? To alter the visualisation moods? * soundwaves never grow old (in my mind) * perhaps have a stronger correlations with hush tones -> defined shapes. Baselines -> wide and soft shapes... that animations fol1 the beat more consistently. * It would be really cool once you edit a code line and then activate it / schedule for it to morph into a visualisation for as long as this line of code is active?",indicated in demographics section that they program for work
22,2,28-32,m,first one,large amount,occasionally,currently program,no,2,3,2,yes,2,3,3,no,Yes. The triggers when the sounds are played.,2,2,2,yes,1,2,2,no,"Yes. The ""progression bar[?]"" aspects interesting. More could be done giving interesting results. The feedback effect on trebbeles[?] etc...",The interaction between the sound and the visuals is interesting and could be pushed much more forward.,
23,1,23-27,m,one or two,large amount,occasionally,currently program,yes,3,3,3,no,2,2,2,no,The code conveys the message that the music is generated by live-modified LISP code. But the visualisation does not help :(,3,3,3,yes,2,2,2,yes,Both of the code and the visualisation shows the performance is live. The visualisation shows which function is responsible for which component of the music.,Make the visualisation of the second performance more fine-grained will help. It will be better not just relate the function to the sound but relate every beat to the sound or to the code responsible for that beat as well. Think about flashing s-exps rather than flashing HUD.,
24,1,18-22,m,one or two,large amount,no,currently program,no,1,2,2,no opinion,3,2,1,no,"I define live as a boolean value. He was coding ""live"" in front of us so therefore it is live. So no, to me the visualisations did not help communicate to me the fact that this was live coding.",1,1,1,no opinion,2,2,2,no,See part c [? Current section].,"I found the visualizations distracting. The words in the second performance also obscured some lines of code. My understanding of this was just that you just demonstrated the code rather than having the visualisations as an aid. Also, the visualisations were not in beat with the music. This annoys me. Finally, some of the visusalisations I could not interpret, I knew what they were, I just couldn't map one-to-one the visualisations and the sound.","indicated that they saw a live coding performance in 2013 COMP1100. Also stated in the aesthetic understanding section that ""as more stuff was added it was harder to hear what each thing did."""
25,1,23-27,f,first one,large amount,occasionally,some experience,no,1,2,1,no,2,1,1,no,code did -> could see then hear the changes. Visualisations just felt like a 90s windows screensaver that changed w/ each addition to the performance -> would've had more meaning if they added together rather then changed.,1,1,1,no,2,2,2,-,"live coding took a back seat to the visualisations in this case viualisations were a bit all over the shop + not all that meaningful. I assume it was representing the time of each element -> not very interesting or meaningful for chords, bleeps + base. Also the [circle in circle] aren't appear in time neither the [backtick in circle]. Generally took away from the code + not a good visualisation of what is going on.",Be more consistent. Last performance had some good elements but the labelling was unneccessary. It would have been better if the visualisation was more uniform in the last performance + more meaningful in terms of the beat + rhythm rather than the time it took for the code to run. In terms of visualisation it did show what code was running though in the 2nd performance.,
26,1,23-27,m,first one,a little,no,currently program,yes,1,3,2,yes,2,3,2,no,yes,1,3,3,yes,2,3,3,yes,Yes,-,
