aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,,didactic understanding beginning,didactic understanding middle,didactic understanding end
low,medium,high,,low,low,low,,high,medium,medium,,low,low,low
medium,medium,high,,medium,medium,medium,,low,low,medium,,high,medium,high
high,high,high,,medium,high,high,,medium,high,high,,medium,medium,medium
medium,high,high,,medium,medium,medium,,high,high,high,,medium,medium,medium
medium,high,medium,,medium,medium,medium,,medium,medium,medium,,medium,medium,medium
medium,medium,high,,high,medium,high,,high,medium,high,,high,low,high
medium,high,medium,,low,low,low,,medium,medium,medium,,low,low,low
high,high,high,,low,low,low,,high,high,high,,low,low,low
medium,medium,medium,,medium,medium,medium,,medium,medium,medium,,low,medium,medium
medium,high,high,,medium,medium,medium,,low,low,medium,,low,medium,medium
high,high,high,,medium,medium,medium,,high,medium,high,,low,low,medium
high,high,high,,medium,medium,medium,,low,high,medium,,medium,medium,medium
medium,high,high,,medium,high,high,,high,medium,medium,,low,medium,medium
low,medium,medium,,medium,medium,medium,,medium,high,medium,,medium,medium,medium
medium,medium,medium,,medium,medium,medium,,medium,high,medium,,low,low,medium
high,high,medium,,high,high,high,,low,medium,medium,,low,medium,medium
medium,high,low,,high,low,low,,high,low,medium,,low,medium,medium
high,high,high,,medium,high,medium,,medium,high,medium,,low,medium,medium
medium,medium,medium,,medium,high,high,,medium,high,medium,,low,medium,high
medium,high,medium,,medium,high,high,,medium,medium,medium,,low,medium,medium
high,high,high,,medium,medium,medium,,high,high,high,,medium,medium,medium
low,medium,medium,,high,medium,low,,low,low,low,,medium,medium,medium
low,medium,low,,medium,low,low,,low,low,low,,medium,medium,medium
low,high,medium,,medium,high,medium,,low,high,high,,medium,high,high
low,medium,medium,,low,medium,high,,medium,high,high,,medium,high,high
medium,high,medium,,high,medium,medium,,medium,medium,medium,,medium,medium,medium
medium,medium,medium,,low,medium,medium,,low,medium,high,,high,medium,low
high,high,medium,,medium,medium,high,,low,medium,medium,,medium,medium,medium
medium,high,medium,,low,low,low,,medium,medium,medium,,medium,medium,high
high,high,high,,low,medium,medium,,medium,high,medium,,medium,medium,medium
medium,high,medium,,medium,medium,medium,,low,medium,medium,,low,low,low
high,high,high,,low,low,medium,,high,high,high,,low,low,low
low,low,medium,,low,low,low,,medium,low,low,,low,low,low
low,medium,medium,,low,medium,medium,,medium,medium,medium,,low,medium,high
medium,medium,high,,medium,high,medium,,medium,high,medium,,medium,low,low
high,high,high,,medium,medium,medium,,high,high,high,,medium,medium,medium
medium,high,high,,low,low,low,,medium,medium,high,,low,medium,low
low,high,high,,low,medium,medium,,medium,low,low,,medium,medium,medium
medium,high,high,,high,medium,medium,,medium,high,medium,,high,medium,medium
