id,performance,age,gender,how many live coding performances have you been to?,how much music do you regularly listen to?,do you play an instrument or sing?,how much experience do you have with programming?,do you have much experience with the Lisp family of programming languages?,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic did the projected visualisations help with your enjoyment of the code?,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic did the projected visualisations help with your understanding of the code?,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic did the projected visualisations help with your enjoyment of the code?,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic did the projected visualisations help with your understanding of the code?
2,2,33-37,,first one,large amount,no,currently program,don't know what you are talking about,low,medium,high,yes,low,low,low,no opinion,high,medium,medium,yes,low,low,low,no opinion
3,2,23-27,m,first one,large amount,yes,currently program,no,medium,medium,high,yes,medium,medium,medium,no,low,low,medium,no,high,medium,high,no
4,2,23-27,m,first one,large amount,yes,currently program,no,high,high,high,yes,medium,high,high,yes,medium,high,high,yes,medium,medium,medium,yes
5,2,43-52,f,first one,large amount,yes,currently program,no,medium,high,high,yes,medium,medium,medium,no,high,high,high,yes,medium,medium,medium,no
6,2,18-22,m,first one,large amount,no,currently program,no,medium,high,medium,yes,medium,medium,medium,no,medium,medium,medium,yes,medium,medium,medium,no opinion
7,2,23-27,m,first one,large amount,no,currently program,no,medium,medium,high,no,high,medium,high,no,high,medium,high,no,high,low,high,yes
8,2,43-52,m,4,a little,no,currently program,yes,medium,high,medium,yes,low,low,low,no opinion,medium,medium,medium,yes,low,low,low,no opinion
9,2,23-27,f,first one,large amount,no,currently program,no,high,high,high,yes,low,low,low,no,high,high,high,yes,low,low,low,yes
10,2,43-52,m,3?,large amount,occasionally,currently program,no,medium,medium,medium,no,medium,medium,medium,no,medium,medium,medium,yes,low,medium,medium,no
11,2,18-22,m,first one,a little,no,currently program,no,medium,high,high,yes,medium,medium,medium,no,low,low,medium,no,low,medium,medium,no
12,2,18-22,f,first one,large amount,occasionally,no experience,no,high,high,high,yes,medium,medium,medium,yes,high,medium,high,yes,low,low,medium,yes
13,2,23-27,m,first one,large amount,no,currently program,yes,high,high,high,yes,medium,medium,medium,no,low,high,medium,yes,medium,medium,medium,no
14,2,23-27,m,first one,a little,no,currently program,no,medium,high,high,yes,medium,high,high,no,high,medium,medium,yes,low,medium,medium,no
16,2,53-62,m,one or two,large amount,occasionally,currently program,no,low,medium,medium,yes,medium,medium,medium,no,medium,high,medium,no opinion,medium,medium,medium,no
17,2,23-27,f,first one,a little,occasionally,some experience,don't know what you are talking about,medium,medium,medium,yes,medium,medium,medium,no,medium,high,medium,yes,low,low,medium,no
18,2,28-32,m,first one,a little,yes,currently program,no,high,high,medium,yes,high,high,high,no opinion,low,medium,medium,no opinion,low,medium,medium,no
19,2,23-27,f,7,a little,occasionally,some experience,don't know what you are talking about,medium,high,low,yes,high,low,low,no,high,low,medium,no,low,medium,medium,no
20,2,28-32,m,first one,large amount,occasionally,currently program,don't know what you are talking about,high,high,high,yes,medium,high,medium,no,medium,high,medium,no opinion,low,medium,medium,no
21,2,33-37,m,first one,large amount,occasionally,currently program,no,medium,medium,medium,no opinion,medium,high,high,no opinion,medium,high,medium,yes,low,medium,high,no
22,2,28-32,m,first one,large amount,occasionally,currently program,no,medium,high,medium,yes,medium,high,high,no,medium,medium,medium,yes,low,medium,medium,no
23,1,23-27,m,one or two,large amount,occasionally,currently program,yes,high,high,high,no,medium,medium,medium,no,high,high,high,yes,medium,medium,medium,yes
24,1,18-22,m,one or two,large amount,no,currently program,no,low,medium,medium,no opinion,high,medium,low,no,low,low,low,no opinion,medium,medium,medium,no
25,1,23-27,f,first one,large amount,occasionally,some experience,no,low,medium,low,no,medium,low,low,no,low,low,low,no,medium,medium,medium,
26,1,23-27,m,first one,a little,no,currently program,yes,low,high,medium,yes,medium,high,medium,no,low,high,high,yes,medium,high,high,yes
27,1,28-32,f,first one,large amount,no,some experience,no,low,medium,medium,yes,low,medium,high,yes,medium,high,high,yes,medium,high,high,yes
28,1,18-22,m,first one,large amount,occasionally,currently program,no,medium,high,medium,yes,high,medium,medium,no,medium,medium,medium,yes,medium,medium,medium,yes
29,1,18-22,m,first one,a little,no,currently program,no,medium,medium,medium,yes,low,medium,medium,no opinion,low,medium,high,yes,high,medium,low,no
30,1,33-37,m,one or two,large amount,yes,some experience,yes,high,high,medium,yes,medium,medium,high,no,low,medium,medium,yes,medium,medium,medium,no
31,1,18-22,m,first one,large amount,no,currently program,no,medium,high,medium,yes,low,low,low,no opinion,medium,medium,medium,yes,medium,medium,high,yes
32,1,28-32,m,first one,hardly any,no,no experience,no,high,high,high,yes,low,medium,medium,no opinion,medium,high,medium,no,medium,medium,medium,no
33,1,18-22,m,first one,large amount,occasionally,currently program,no,medium,high,medium,yes,medium,medium,medium,no,low,medium,medium,no,low,low,low,no
34,1,18-22,f,first one,large amount,no,currently program,don't know what you are talking about,high,high,high,yes,low,low,medium,no opinion,high,high,high,no,low,low,low,no
35,1,23-27,m,first one,large amount,occasionally,some experience,don't know what you are talking about,low,low,medium,yes,low,low,low,yes,medium,low,low,no,low,low,low,yes
36,1,43-52,m,one or two,large amount,no,no experience,no,low,medium,medium,yes,low,medium,medium,no,medium,medium,medium,no,low,medium,high,yes
37,1,23-27,m,first one,large amount,occasionally,currently program,no,medium,medium,high,no,medium,high,medium,no,medium,high,medium,yes,medium,low,low,no
38,1,38-42,f,first one,a little,no,currently program,no,high,high,high,no opinion,medium,medium,medium,no,high,high,high,no,medium,medium,medium,no
39,1,28-32,f,first one,a little,yes,no experience,no,medium,high,high,yes,low,low,low,no opinion,medium,medium,high,yes,low,medium,low,yes
40,1,28-32,f,first one,a little,no,currently program,no,low,high,high,yes,low,medium,medium,yes,medium,low,low,,medium,medium,medium,yes
41,1,23-27,m,one or two,large amount,occasionally,currently program,no,medium,high,high,yes,high,medium,medium,no,medium,high,medium,yes,high,medium,medium,yes
