id,performance,age,gender,num performances,music amount,instrument or sing,programming experience,lisp experience,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic help enjoyment,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic help understanding,aesthetic liveness,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic help enjoyment,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic help understanding,didactic liveness,improvements,arrian's notes
1,2,33-37,male,first one,Large Amount,Never or Rarely,Current Experience,yes,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,medium,low,medium,no,medium,medium,medium,unspecified,Yes. Live editing,You need separate screens... overlayed code and graphics was confusing. Unsure how the visualizations related to music -> need to be intuitive,survey half complete
2,2,33-37,unspecified,first one,Large Amount,Never or Rarely,Current Experience,no,low,medium,high,yes,low,low,low,unspecified,I could not associate as haven't been to any live performance.,high,medium,medium,yes,low,low,low,unspecified,Probably not because I had the context set. If I was only listening it could give that feeling.,"If you must use the visuals, probably images with the instrument being played could help.",
3,2,23-27,male,first one,Large Amount,Regularly,Current Experience,no,medium,medium,high,yes,medium,unspecified,unspecified,no,Same as Q12 [The changing and addition of different parameters helped to understand it was live.],low,low,medium,no,high,medium,high,no,The changing and addition of different parameters helped to understand it was live.,"During the starting when the code was being written some part of music was monotonous. Too many use of ""random"" where music was off beat during first performance [2 didactic]. 2nd performance was good. [2 aesthetic]",
4,2,23-27,male,first one,Large Amount,Regularly,Current Experience,no,high,high,high,yes,medium,high,high,yes,"Confusing when vis changed, once that was clear how the code worked was easier to understand.",medium,high,high,yes,medium,medium,medium,yes,Watching the program conveyed it as live. In-interpreter changes were impressive.,I found the three wavy live vis confusing - knowing what it was refering in the music (labels) would have been good. I feel vis could be more complex - show more information. May be combine some (segmented circles?),
5,2,43-52,female,first one,Large Amount,Regularly,Current Experience,no,medium,high,high,yes,medium,medium,medium,no,I liked these visuals better but I still did not feel they represented the code or music very well. I would have liked to see more correspondence eg. hue = pitch size = temporal frequency or something similar ,high,high,high,yes,medium,medium,medium,no,"Yes, the code in particular gave a good feeling for the ""live""-ness of the performance. I guess we're used to auto-visualisations of music so that didn't contribute quite as much. Also I didn't feel the visualisations were very representitive of what was happening musically.",See previous comments. It might be interesting to look at some of the literature on synaethesia for inspiration on this.,"stated in didactic understanding section that ""I couldn't really read the code from where I was sitting"""
6,2,18-22,male,first one,Large Amount,Never or Rarely,Current Experience,no,medium,high,medium,yes,medium,medium,medium,no,Visualisations - not as much as first performance [2 didactic]. Doesn't seem to be linked with the code as much.,medium,medium,medium,yes,unspecified,unspecified,unspecified,unspecified,You can see code changing and visualisations changing as soon as code changes.,Second set of visualisations looks prettier but less connected with code.,
7,2,23-27,male,first one,Large Amount,Never or Rarely,Current Experience,no,medium,medium,high,no,high,medium,high,no,"Code yes, especially when changing frequencies. Visualisations were nicer, but didn't change much.",high,medium,high,no,high,low,high,yes,Yes. Connection between code and vis was understandable.,"First one was factual but ""boring"". Second one was better but did not reflect rhythm too much.",
8,2,43-52,male,one or more,A Little,Never or Rarely,Current Experience,yes,medium,high,medium,yes,low,low,low,unspecified,Yes. Response to code changes.,medium,medium,medium,yes,low,low,low,unspecified,Yes,-,"stated ""could not read"" for didactic understanding section"
9,2,23-27,female,first one,Large Amount,Never or Rarely,Current Experience,no,high,high,high,yes,low,low,low,no,Same comment as before except that I thought the last visualisations [2 didactic] were better and in hindsight helped more with communicating that the performance was live.,high,high,high,yes,low,low,low,yes,"Yes, the code change was more helpful in communicating that the performance was live but the visualisations were far more interesting to look at so it was good to have a combination of the two.",I thought the first visualisation [2 didactic] methods was better and I have no comments on how to improve that method.,
10,2,43-52,male,one or more,Large Amount,Occasionally,Current Experience,no,medium,medium,medium,no,medium,medium,medium,no,Variation in visualisations in response to the code & music changes.,medium,medium,medium,yes,low,medium,medium,no,Yes - the appearance of code correlated with keyboard clicks®Õ,Not really.,
11,2,18-22,male,first one,A Little,Never or Rarely,Current Experience,no,medium,high,high,yes,medium,medium,medium,no,Same answer. Code - yes. Visualisations - no,low,low,medium,no,low,medium,medium,no,the code did the visualisations did not,no. but they don't feel like they reflected what is playing well the second was more enjoyable to watch. The first reflected the music more.,
12,2,18-22,female,first one,Large Amount,Occasionally,No Experience,no,high,high,high,yes,medium,medium,medium,yes,Same as before + further understanding of relation between numbers and music,high,medium,high,yes,low,low,medium,yes,Yes. When the artist changed the code the music changed eg. Changing number produced chages in tone and speed of the music pitch,Maybe have the code and visuals on different screens (if it were for a live performance that wasn't a user study). When all the instruments were playing it was difficult to see the code.,
13,2,23-27,male,first one,Large Amount,Never or Rarely,Current Experience,yes,high,high,high,yes,medium,medium,medium,no,Same as before,low,high,medium,yes,medium,medium,medium,no,Code definitely. Visualisations not so much - vis are cool but not clear what they represent,-,
14,2,23-27,male,first one,A Little,Never or Rarely,Current Experience,no,medium,high,high,yes,medium,high,high,no,No. Does the code influence visualisations? Influence is not clear.,high,medium,medium,yes,low,medium,medium,no,No. visualisations need to be clearer in the code,Movement of animations is synch with beats. Small beats -> small animations etc.,indicated in demographics section that they program for study and work 
15,2,28-32,male,first one,A Little,Never or Rarely,Previous Experience,no,high,medium,medium,unspecified,unspecified,unspecified,unspecified,no,random noise' sequences when two instruments were playing was a really interesting metaphor but it didn't actually look random... too evenly distributed?,high,high,high,yes,unspecified,unspecified,unspecified,yes,Plenty of 'live' electronic performances are pre-recorded. Code showed what the musician was doing physically. Visualisation explained how these actions translated into sound.,,"noted after the suggestions section that ""had to read screen from the far side of the room"""
16,2,53-62,male,one or more,Large Amount,Occasionally,Current Experience,no,low,medium,medium,yes,medium,medium,medium,no,Not really - seemed disconnected from performance,medium,high,medium,unspecified,medium,medium,medium,no,Kind of - the visualization seemed to change/evolve with the flow of the work - in sync??,Would be better for vis to relfect each element of the music - eg. Something for drums or chords etc. The 1st performance seemed to do this but the connection could have been stronger,
17,2,23-27,female,first one,A Little,Occasionally,Previous Experience,no,medium,medium,medium,yes,medium,medium,medium,no,Again the code did. The visualisations not so much.,medium,high,medium,yes,low,low,medium,no,yes - seeing the code change and hearing the result. The visualisations were interesting but distracting.,Being on a separate screen might help so they aren't competing with the code.,
18,2,28-32,male,first one,A Little,Regularly,Current Experience,no,high,high,medium,yes,high,high,high,unspecified,Much more of a pleasant addition this time. The visualizations were less dominating and more complementary.,low,medium,medium,unspecified,low,medium,medium,no,The code yes. May be better having a second projection for visualisations.,"A surrounding projection would be better (though trickier to organise). Perhaps a more vivid variation when the code is updated, especially when adding or removing instruments.",
19,2,23-27,female,one or more,A Little,Occasionally,Previous Experience,no,medium,high,low,yes,high,low,low,no,no. the visuals seemed to be timed? didn't seem to be live. The code typed seem to be live,high,low,medium,no,low,medium,medium,no,no. you could see it was live from the typing - the visuals only responded to what was being typed.,I prefer visuals that look nice rather than contain a lot of information - maybe better if they relfect the mood of the music rather than technical stuff?,
20,2,28-32,male,first one,Large Amount,Occasionally,Current Experience,no,high,high,high,yes,medium,high,medium,no,Understood the code much more the 2nd time around. Vis much more fun when you can see what he's doing & what's coming. Visualisations can *distract* from appreciation of code,medium,high,medium,unspecified,low,medium,medium,no,Yes due to the way the visualisations changed according to which tracks were active.,I was too busy focusing on the code & I didn't get so much of a connection between them & the music.,Drew arrow from distract in aesthetic 'did the projected visuals help' comment to the 'no' in the aesthetic understanding question.
