id,performance,age,gender,num performances,music amount,instrument or sing,programming experience,lisp experience,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic help enjoyment,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic help understanding,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic help enjoyment,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic help understanding
1,2,33-37,m,first one,large amount,no,currently program,yes,-,-,-,-,-,-,-,-,2,1,2,no,2,2,2,-
2,2,33-37,-,first one,large amount,no,currently program,don't know what you are talking about,1,2,3,yes,1,1,1,no opinion,3,2,2,yes,1,1,1,no opinion
3,2,23-27,m,first one,large amount,yes,currently program,no,2,2,3,yes,2,-,-,no,1,1,2,no,3,2,3,no
4,2,23-27,m,first one,large amount,yes,currently program,no,3,3,3,yes,2,3,3,yes,2,3,3,yes,2,2,2,yes
5,2,43-52,f,first one,large amount,yes,currently program,no,2,3,3,yes,2,2,2,no,3,3,3,yes,2,2,2,no
6,2,18-22,m,first one,large amount,no,currently program,no,2,3,2,yes,2,2,2,no,2,2,2,yes,-,-,-,no opinion
7,2,23-27,m,first one,large amount,no,currently program,no,2,2,3,no,3,2,3,no,3,2,3,no,3,1,3,yes
8,2,43-52,m,4,a little,no,currently program,yes,2,3,2,yes,1,1,1,no opinion,2,2,2,yes,1,1,1,no opinion
9,2,23-27,f,first one,large amount,no,currently program,no,3,3,3,yes,1,1,1,no,3,3,3,yes,1,1,1,yes
10,2,43-52,m,3?,large amount,occasionally,currently program,no,2,2,2,no,2,2,2,no,2,2,2,yes,1,2,2,no
11,2,18-22,m,first one,a little,no,currently program,no,2,3,3,yes,2,2,2,no,1,1,2,no,1,2,2,no
12,2,18-22,f,first one,large amount,occasionally,no experience,no,3,3,3,yes,2,2,2,yes,3,2,3,yes,1,1,2,yes
13,2,23-27,m,first one,large amount,no,currently program,yes,3,3,3,yes,2,2,2,no,1,3,2,yes,2,2,2,no
14,2,23-27,m,first one,a little,no,currently program,no,2,3,3,yes,2,3,3,no,3,2,2,yes,1,2,2,no
15,2,28-32,m,first one,a little,no,some experience,no,3,2,2,no opinion,-,-,-,no,3,3,3,yes,-,-,-,yes
16,2,53-62,m,one or two,large amount,occasionally,currently program,no,1,2,2,yes,2,2,2,no,2,3,2,no opinion,2,2,2,no
17,2,23-27,f,first one,a little,occasionally,some experience,don't know what you are talking about,2,2,2,yes,2,2,2,no,2,3,2,yes,1,1,2,no
18,2,28-32,m,first one,a little,yes,currently program,no,3,3,2,yes,3,3,3,no opinion,1,2,2,no opinion,1,2,2,no
19,2,23-27,f,7,a little,occasionally,some experience,don't know what you are talking about,2,3,1,yes,3,1,1,no,3,1,2,no,1,2,2,no
20,2,28-32,m,first one,large amount,occasionally,currently program,don't know what you are talking about,3,3,3,yes,2,3,2,no,2,3,2,no opinion,1,2,2,no
21,2,33-37,m,first one,large amount,occasionally,currently program,no,2,2,2,no opinion,2,3,3,no opinion,2,3,2,yes,1,2,3,no
22,2,28-32,m,first one,large amount,occasionally,currently program,no,2,3,2,yes,2,3,3,no,2,2,2,yes,1,2,2,no
23,1,23-27,m,one or two,large amount,occasionally,currently program,yes,3,3,3,no,2,2,2,no,3,3,3,yes,2,2,2,yes
24,1,18-22,m,one or two,large amount,no,currently program,no,1,2,2,no opinion,3,2,1,no,1,1,1,no opinion,2,2,2,no
25,1,23-27,f,first one,large amount,occasionally,some experience,no,1,2,1,no,2,1,1,no,1,1,1,no,2,2,2,-
26,1,23-27,m,first one,a little,no,currently program,yes,1,3,2,yes,2,3,2,no,1,3,3,yes,2,3,3,yes
27,1,28-32,f,first one,large amount,no,some experience,no,1,2,2,yes,1,2,3,yes,2,3,3,yes,2,3,3,yes
28,1,18-22,m,first one,large amount,occasionally,currently program,no,2,3,2,yes,3,2,2,no,2,2,2,yes,2,2,2,yes
29,1,18-22,m,first one,a little,no,currently program,no,2,2,2,yes,1,2,2,no opinion,1,2,3,yes,3,2,1,no
30,1,33-37,m,one or two,large amount,yes,some experience,yes,3,3,2,yes,2,2,3,no,1,2,2,yes,2,2,2,no
31,1,18-22,m,first one,large amount,no,currently program,no,2,3,2,yes,1,1,1-Feb,no opinion,2,2,2,yes,2,2,2-Mar,yes
32,1,28-32,m,first one,hardly any,no,no experience,no,3,3,3,yes,1,2,2,no opinion,2,3,2,no,2,2,2,no
33,1,18-22,m,first one,large amount,occasionally,currently program,no,2,3,2,yes,2,2,2,no,1,2,2,no,1,1,1,no
34,1,18-22,f,first one,large amount,no,currently program,don't know what you are talking about,3,3,3,yes,1,1,2,no opinion,3,3,3,no,1,1,1,no
35,1,23-27,m,first one,large amount,occasionally,some experience,don't know what you are talking about,1,1,2,yes,1,1,1,yes,2,1,1,no,1,1,1,yes
36,1,43-52,m,one or two,large amount,no,no experience,no,1,2,2,yes,1,2,2,no,2,2,2,no,1,2,3,yes
37,1,23-27,m,first one,large amount,occasionally,currently program,no,2,2,3,no,2,3,2,no,2,3,2,yes,2,1,1,no
38,1,38-42,f,first one,a little,no,currently program,no,3,3,3,no opinion,2,2,2,no,3,3,3,no,2,2,2,no
39,1,28-32,f,first one,a little,yes,no experience,no,2,3,3,yes,1,1,1,no opinion,2,2,3,yes,1,2,1,yes
40,1,28-32,f,first one,a little,no,currently program,no,1,3,3,yes,1,2,2,yes,2,1,1,-,2,2,2,yes
41,1,23-27,m,one or two,large amount,occasionally,currently program,no,2,3,3,yes,3,2,2,no,2,3,2,yes,3,2,2,yes
