No visualisation enjoyment beginning,No visualisation enjoyment middle,No visualisation enjoyment end,No visualisation understanding beginning,No visualisation understanding middle,No visualisation understanding end,,,With visualisation enjoyment beginning,With visualisation enjoyment middle,With visualisation enjoyment end,With visualisation understanding beginning,With visualisation understanding middle,With visualisation understanding end
High,Medium,Medium,High,High,High,,,Low,High,High,Medium,High,High
Medium,Low,High,Medium,Medium,Medium,,,Medium,Medium,High,Medium,Medium,High
High,Medium,Low,High,High,High,,,High,Medium,High,Medium,Low,Medium
Medium,Low,Low,Low,Low,Low,,,Medium,High,Low,Low,Low,Low
Low,Medium,Medium,Medium,Medium,Medium,,,High,High,High,Medium,Medium,Medium
Low,Medium,Low,Low,Low,Low,,,Medium,Medium,Medium,Low,Low,Low
Low,High,Medium,Low,Low,Low,,,Low,Medium,Medium,Low,Medium,Medium
Low,Medium,Low,Low,Low,Low,,,Low,High,Medium,Low,Low,Low
Low,Medium,High,Low,Low,Low,,,Low,Medium,High,Low,Low,Low
Medium,Medium,Medium,Medium,Medium,Medium,,,Low,Medium,Low,Medium,Medium,Medium
Medium,Medium,High,Medium,Medium,Medium,,,Low,Medium,High,Low,Low,Medium
Low,Medium,High,Low,High,High,,,Medium,Medium,High,Low,Low,Medium
High,High,High,High,Medium,High,,,Medium,High,Medium,Low,Low,Low
Medium,Low,Medium,High,Medium,Low,,,Medium,Medium,High,High,High,High
Low,Medium,Low,Medium,Medium,Medium,,,Low,Low,Low,Medium,Medium,Medium
Low,Medium,High,Medium,Medium,Medium,,,Low,Medium,Low,Medium,Medium,High
Low,Medium,Medium,Low,Low,Medium,,,Low,High,Medium,Medium,Medium,Medium
Medium,High,High,Low,Low,Low,,,Low,Medium,Medium,Low,Medium,Low
Medium,High,Medium,Low,Low,Low,,,Low,Medium,Low,Low,Low,Low
Low,High,Medium,Low,Medium,High,,,Medium,High,Medium,Medium,Medium,High
Low,High,Medium,Medium,Medium,Medium,,,Low,Low,High,Medium,Medium,High
Low,Medium,High,Low,Medium,Medium,,,Medium,High,High,Low,Medium,Medium
Medium,High,High,Low,Low,Medium,,,High,High,Medium,Medium,Low,Medium
High,High,High,Medium,Medium,Medium,,,High,High,High,High,High,High
Low,Medium,Medium,Medium,Medium,Medium,,,Medium,Medium,Medium,Medium,Medium,Medium
