PerformanceNumber,MusicListen,MusicPerform,ProgrammingExperience,Enjoyment,Understanding,Liveness,Confusion
Five or more,A Large Amount,Often,Large Amount,High,Low to High,Helped,No Response
None,A Large Amount,Occasionally,Large Amount,Flat,Flat,No Effect,No Response
Less than Five,A Large Amount,Occasionally,Large Amount,High to Low,High to Low,Helped,None
None,A Large Amount,Never,Large Amount,High,High,Helped,None
Less than Five,A Large Amount,Often,Some,High,High to Low,Helped,Some
None,A Large Amount,Often,None,High,Low to High,Helped,None
None,A Large Amount,Often,Large Amount,Low to High,Flat,No Effect,Some
Less than Five,A Large Amount,Often,Some,High to Low,High,Helped,Some
None,Hardly any,Never,None,Flat,Flat,Helped,None
None,A Little,Never,None,Unsure,Unsure,No Effect,All
None,A Large Amount,Often,Some,High,Low to High,Helped,None
None,A Large Amount,Often,Some,Unsure,Unsure,No Effect,No Response
None,A Little,Never,None,High,Flat,Helped,No Response
